time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-16 00:00:00+00:00,1,1,17,5
2024-03-17 00:00:00+00:00,2,2,20,2
2024-03-18 00:00:00+00:00,2,2,11,7
2024-03-19 00:00:00+00:00,1,1,101,8
2024-03-20 00:00:00+00:00,1,1,28,8
2024-03-21 00:00:00+00:00,4,4,16,5
2024-03-22 00:00:00+00:00,2,2,4,4
2024-03-23 00:00:00+00:00,1,1,0,0
2024-03-24 00:00:00+00:00,1,1,1,1
2024-03-25 00:00:00+00:00,1,1,33,3
2024-03-26 00:00:00+00:00,1,1,9,2
2024-03-27 00:00:00+00:00,2,2,6,4
2024-03-28 00:00:00+00:00,6,4,2,2
2024-03-29 00:00:00+00:00,2,2,28,2
2024-03-30 00:00:00+00:00,3,2,0,0
2024-03-31 00:00:00+00:00,3,3,4,2
2024-04-01 00:00:00+00:00,1,1,5,4
2024-04-02 00:00:00+00:00,3,3,6,3
2024-04-03 00:00:00+00:00,1,1,7,3
2024-04-04 00:00:00+00:00,4,2,2,1
2024-04-05 00:00:00+00:00,1,1,4,4
2024-04-06 00:00:00+00:00,1,1,15,2
2024-04-07 00:00:00+00:00,1,1,3,3
2024-04-08 00:00:00+00:00,1,1,3,3
2024-04-09 00:00:00+00:00,12,9,40,5
2024-04-10 00:00:00+00:00,4,4,6,4
2024-04-11 00:00:00+00:00,4,4,6,5
2024-04-12 00:00:00+00:00,13,9,19,4
2024-04-13 00:00:00+00:00,3,3,1,1
2024-04-14 00:00:00+00:00,2,2,4,2
2024-04-15 00:00:00+00:00,1,1,10,5
2024-04-16 00:00:00+00:00,1,1,8,6
2024-04-17 00:00:00+00:00,6,3,32,6
2024-04-18 00:00:00+00:00,1,1,11,6
2024-04-19 00:00:00+00:00,7,2,7,2
2024-04-20 00:00:00+00:00,6,3,1,1
2024-04-21 00:00:00+00:00,1,1,1,1
2024-04-22 00:00:00+00:00,2,2,8,5
2024-04-23 00:00:00+00:00,1,1,156,9
2024-04-24 00:00:00+00:00,5,2,3,3
2024-04-25 00:00:00+00:00,1,1,1,1
2024-04-26 00:00:00+00:00,1,1,98,3
2024-04-27 00:00:00+00:00,6,3,2,1
2024-04-28 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,6,3,52,11
2024-04-30 00:00:00+00:00,1,1,5,2
2024-05-01 00:00:00+00:00,1,1,10,5
2024-05-02 00:00:00+00:00,1,1,76,8
2024-05-03 00:00:00+00:00,5,5,151,6
2024-05-04 00:00:00+00:00,6,3,0,0
2024-05-05 00:00:00+00:00,4,4,46,5
2024-05-06 00:00:00+00:00,12,7,85,3
2024-05-07 00:00:00+00:00,5,2,3,3
2024-05-08 00:00:00+00:00,1,1,30,2
2024-05-09 00:00:00+00:00,1,1,45,6
2024-05-10 00:00:00+00:00,2,2,1,1
2024-05-11 00:00:00+00:00,1,1,5,1
2024-05-12 00:00:00+00:00,1,1,35,4
2024-05-13 00:00:00+00:00,5,2,13,11
2024-05-14 00:00:00+00:00,1,1,73,4
2024-05-15 00:00:00+00:00,10,7,111,9
2024-05-16 00:00:00+00:00,19,12,60,6
2024-05-17 00:00:00+00:00,11,9,4,2
2024-05-18 00:00:00+00:00,2,2,7,2
2024-05-19 00:00:00+00:00,7,4,1,1
2024-05-20 00:00:00+00:00,3,3,33,4
2024-05-21 00:00:00+00:00,7,4,11,7
2024-05-22 00:00:00+00:00,10,7,148,13
2024-05-23 00:00:00+00:00,14,10,58,4
2024-05-24 00:00:00+00:00,5,3,69,5
2024-05-25 00:00:00+00:00,2,2,18,3
2024-05-26 00:00:00+00:00,5,2,14,4
2024-05-27 00:00:00+00:00,6,3,21,8
2024-05-28 00:00:00+00:00,5,2,2,2
2024-05-29 00:00:00+00:00,6,3,32,7
2024-05-30 00:00:00+00:00,1,1,11,2
2024-05-31 00:00:00+00:00,6,2,42,7
2024-06-01 00:00:00+00:00,3,2,58,3
2024-06-02 00:00:00+00:00,2,2,64,1
2024-06-03 00:00:00+00:00,2,2,34,5
2024-06-04 00:00:00+00:00,20,13,24,9
2024-06-05 00:00:00+00:00,5,2,1,1
2024-06-06 00:00:00+00:00,6,3,32,5
2024-06-07 00:00:00+00:00,1,1,92,9
2024-06-08 00:00:00+00:00,2,2,56,8
2024-06-09 00:00:00+00:00,1,1,5,5
